Age (x),qx,lx,px,dx,lx_next,Lx,Tx,ex,ax
21.0,0.022,84965.667,0.978,1869.244674,83100.101,84032.88399999999,1376176.0405,16.19684855178033,12.581408387472258
22.0,0.024,83100.101,0.976,1994.4024239999999,81091.447,82095.774,1292143.1564999998,15.549236895632653,12.197188792532133
23.0,0.027,81091.447,0.973,2189.4690689999998,78939.558,80015.5025,1210047.3824999998,14.922009993236399,11.816705385561574
24.0,0.029,78939.558,0.971,2289.247182,76645.842,77792.70000000001,1130031.88,14.315153373420204,11.450366441036405
25.0,0.032,76645.842,0.968,2452.666944,74213.396,75429.619,1052239.18,13.72858791217924,11.085352661449534
26.0,0.035,74213.396,0.965,2597.46886,71647.111,72930.25349999999,976809.5609999999,13.162173052962029,10.731315331914278
27.0,0.038,71647.111,0.962,2722.5902180000003,68953.754,70300.4325,903879.3074999999,12.615711853336276,10.386792530437
28.0,0.041,68953.754,0.959,2827.1039140000003,66142.017,67547.8855,833578.8749999999,12.088955664400808,10.05030801075895
29.0,0.044,66142.017,0.956,2910.248748,63222.532,64682.2745,766030.9894999999,11.581609153225548,9.720351669532553
30.0,0.048,63222.532,0.952,3034.681536,60207.839,61715.1855,701348.7149999999,11.093334809811157,9.39535797031227
31.0,0.051,60207.839,0.949,3070.599789,57112.313,58660.076,639633.5294999998,10.623758303300004,9.083212930064747
32.0,0.055,57112.313,0.945,3141.177215,53952.039,55532.176,580973.4534999998,10.17247285186996,8.773139428837396
33.0,0.059,53952.039,0.9410000000000001,3183.1703009999997,50744.633,52348.335999999996,525441.2774999999,9.739043921954458,8.472310700214305
34.0,0.064,50744.633,0.9359999999999999,3247.656512,47509.023,49126.828,473092.9414999999,9.32301434715273,8.179043593220758
35.0,0.068,47509.023,0.9319999999999999,3230.613564,44265.165,45887.094,423966.1134999999,8.923907222844804,7.900015919890364
36.0,0.073,44265.165,0.927,3231.3570449999997,41033.732,42649.4485,378079.01949999994,8.541231451413315,7.6255540745569474
37.0,0.078,41033.732,0.922,3200.631096,37835.743,39434.7375,335429.57099999994,8.174483641897352,7.361726749507719
38.0,0.083,37835.743,0.917,3140.3666690000005,34692.184,36263.9635,295994.83349999995,7.823153717372484,7.1069181691897505
39.0,0.088,34692.184,0.912,3052.912192,31623.589,33157.8865,259730.86999999997,7.486725828503618,6.85946097520768
40.0,0.094,31623.589,0.906,2972.617366,28649.624,30136.6065,226572.98349999997,7.164682778415821,6.617592987350779
41.0,0.1,28649.624,0.9,2864.9624000000003,25788.673,27219.1485,196436.37699999998,6.856508029564367,6.386446773699009
42.0,0.106,25788.673,0.894,2733.599338,23057.443,24423.057999999997,169217.22849999997,6.561688090736579,6.164489085455532
43.0,0.112,23057.443,0.888,2582.433616,20470.611,21764.027000000002,144794.17049999998,6.279714992681538,5.950138431788812
44.0,0.119,20470.611,0.881,2436.002709,18040.506,19255.5585,123030.14349999998,6.010086533323308,5.741714622457744
45.0,0.125,18040.506,0.875,2255.06325,15776.867,16908.6865,103774.58499999998,5.752310107044668,5.543661817402357
46.0,0.132,15776.867,0.868,2082.546444,13686.672,14731.7695,86865.89849999998,5.50590294638346,5.348539053627917
47.0,0.14,13686.672,0.86,1916.1340800000003,11774.041,12730.3565,72134.12899999999,5.270392174226137,5.160132747968611
48.0,0.147,11774.041,0.853,1730.7840269999997,10040.231,10907.135999999999,59403.77249999999,5.045317278918937,4.982484570241477
49.0,0.155,10040.231,0.845,1556.235805,8483.722,9261.9765,48496.63649999999,4.8302311470722135,4.80886179056122
50.0,0.163,8483.722,0.837,1382.846686,7100.379,7792.050499999999,39234.659999999996,4.62469892342064,4.642754608613085
51.0,0.171,7100.379,0.829,1214.164809,5883.698,6492.038500000001,31442.6095,4.428300165385537,4.482720725055529
52.0,0.18,5883.698,0.8200000000000001,1059.06564,4825.111,5354.404500000001,24950.571,4.240627408136855,4.327143964785519
53.0,0.189,4825.111,0.8109999999999999,911.945979,3914.347,4369.729,19596.1665,4.061288227358915,4.1792174191818106
54.0,0.198,3914.347,0.802,775.0407060000001,3139.827,3527.0870000000004,15226.4375,3.8899048806863568,4.037723725964568
55.0,0.207,3139.827,0.793,649.944189,2489.073,2814.45,11699.3505,3.726113094766049,3.901316007161478
56.0,0.217,2489.073,0.783,540.128841,1949.114,2219.0935,8884.9005,3.569562041772178,3.7684180168679977
57.0,0.227,1949.114,0.773,442.44887800000004,1506.875,1727.9945,6665.807,3.4199164338258305,3.6417248497752714
58.0,0.237,1506.875,0.763,357.129375,1149.532,1328.2035,4937.8125,3.276856076316881,3.5200214686526903
59.0,0.248,1149.532,0.752,285.083936,864.809,1007.1705,3609.6090000000004,3.140068306058466,3.401863843659595
60.0,0.259,864.809,0.741,223.985531,641.233,753.021,2602.4385,3.009263895264735,3.2897869135231157
61.0,0.27,641.233,0.73,173.13291,468.314,554.7735,1849.4175,2.8841583324626154,3.182834711105006
62.0,0.281,468.314,0.719,131.596234,336.666,402.49,1294.644,2.764478533633417,3.079890071833091
63.0,0.293,336.666,0.7070000000000001,98.643138,238.069,287.3675,892.154,2.6499676236982648,2.979536542403454
64.0,0.305,238.069,0.6950000000000001,72.61104499999999,165.475,201.772,604.7864999999999,2.5403832502341754,2.883907551167691
65.0,0.317,165.475,0.683,52.455574999999996,112.969,139.22199999999998,403.0145,2.43550083094123,2.7919780974139874
66.0,0.33,112.969,0.6699999999999999,37.27977,75.69,94.3295,263.7925,2.335087501881047,2.7023974236257784
67.0,0.343,75.69,0.657,25.96167,49.727,62.7085,169.46300000000002,2.2389087065662574,2.6171184273650026
68.0,0.356,49.727,0.644,17.702811999999998,32.007,40.867,106.75450000000001,2.146811591288435,2.535208493433718
69.0,0.37,32.007,0.63,11.84259,20.164,26.0855,65.8875,2.0585340706720405,2.4553800438458526
70.0,0.384,20.164,0.616,7.7429760000000005,12.42,16.292,39.802,1.9739139059710373,2.3794308653352827
71.0,0.398,12.42,0.602,4.943160000000001,7.473,9.9465,23.509999999999998,1.8929146537842187,2.3065158949599693
72.0,0.413,7.473,0.587,3.086349,4.386,5.9295,13.5635,1.8150006690753377,2.235400949848453
73.0,0.428,4.386,0.5720000000000001,1.877208,2.509,3.4475,7.6339999999999995,1.7405380756953943,2.1677393157477116
74.0,0.443,2.509,0.5569999999999999,1.111487,1.396,1.9525,4.1865,1.6685930649661218,2.102747369265984
75.0,0.459,1.396,0.5409999999999999,0.640764,0.755,1.0755,2.234,1.6002865329512894,2.03919172413638
76.0,0.475,0.755,0.525,0.35862499999999997,0.396,0.5755,1.1585,1.5344370860927152,1.9784981069509644
77.0,0.492,0.396,0.508,0.194832,0.202,0.29900000000000004,0.5830000000000001,1.4722222222222223,1.919720095541892
78.0,0.508,0.202,0.492,0.10261600000000001,0.099,0.15050000000000002,0.28400000000000003,1.405940594059406,1.8647868078900567
79.0,0.525,0.099,0.475,0.05197500000000001,0.047,0.07300000000000001,0.1335,1.3484848484848484,1.8104276669243056
80.0,0.543,0.047,0.45699999999999996,0.025521000000000002,0.021,0.034,0.0605,1.2872340425531914,1.7573484145937575
81.0,0.561,0.021,0.43899999999999995,0.011781000000000002,0.009,0.015,0.0265,1.2619047619047619,1.706934063526412
82.0,0.579,0.009,0.42100000000000004,0.0052109999999999995,0.004,0.0065,0.0115,1.277777777777778,1.6586380078182335
83.0,0.598,0.004,0.402,0.002392,0.002,0.003,0.005,1.25,1.6113946509567234
